tokens,vocab_size
81228,1
115107,2
121363,3
127619,4
140170,5
194409,6
202678,7
218413,8
224669,9
235877,10
316408,11
322822,12
357619,13
363875,14
382793,15
401586,16
413629,17
419891,18
423445,19
423481,20
430115,21
445536,22
460921,23
467177,24
500977,25
507267,26
521900,27
528166,28
534422,29
540678,30
570532,31
583044,32
589300,33
602583,34
609360,35
630153,36
636409,37
642665,38
648926,39
655182,40
661577,41
668049,42
686817,43
693293,44
705805,45
712831,46
731278,47
737874,48
744598,49
753615,50
764074,51
770330,52
777196,53
815398,54
822628,55
833853,56
836118,57
842708,58
845283,59
847520,60
853776,61
854082,62
857156,63
859330,64
878544,65
905548,66
919827,67
920696,68
1027716,69
1036255,70
1063061,71
1210575,72
1222978,73
1224764,74
1225608,75
1226503,76
1304588,77
1306051,78
1308373,79
1332704,80
1333464,81
1342375,82
1350883,83
2190640,84
2350193,85
2388388,86
2625904,87
2647585,88
2647615,89
2657114,90
2678123,91
2721766,92
2728353,93
2773827,94
2785926,95
2838994,96
2916947,97
2930118,98
3435854,99
3445451,100
3450950,101
3451338,102
3451446,103
3457871,104
3457999,105
3458247,106
3492076,107
4541187,108
4544322,109
4578291,110
4622962,111
4624432,112
4627717,113
4631656,114
4633268,115
4636586,116
4649358,117
4663115,118
4679463,119
4724097,120
4743916,121
4779002,122
4932562,123
5001488,124
5058227,125
5095814,126
5098634,127
5111935,128
5115711,129
5122472,130
5203347,131
5209394,132
5210055,133
5257192,134
5370314,135
5379899,136
5441304,137
5470452,138
5509381,139
5591588,140
5616734,141
5683699,142
5690415,143
5693042,144
5955080,145
5974561,146
5976943,147
6080680,148
6115303,149
6127369,150
6188679,151
6194955,152
6224360,153
6318449,154
6326869,155
6357505,156
6409439,157
6489285,158
6638237,159
6646862,160
6648920,161
6681707,162
6683708,163
6689555,164
6692037,165
6693297,166
6696358,167
6713865,168
6714776,169
6829491,170
6834103,171
6834625,172
6838040,173
6843576,174
6848347,175
6854488,176
6866369,177
6872344,178
6877313,179
6886082,180
6958285,181
6963557,182
6971195,183
6981233,184
6997142,185
7040963,186
7081506,187
7093956,188
7344036,189
7510213,190
7517058,191
7523700,192
7555131,193
7605773,194
7626187,195
7661312,196
7688358,197
7689635,198
7697241,199
7699438,200
7777762,201
7778092,202
7780274,203
7781117,204
7785577,205
7787504,206
7830422,207
7838209,208
7840853,209
7844825,210
7855066,211
7855791,212
7927151,213
8096441,214
8201540,215
8224356,216
8253028,217
8265096,218
8294052,219
8307333,220
8310625,221
