word,count
our,1049111
you,839757
are,505736
growth,262038
but,250080
over,237516
was,232406
revenue,169290
not,166177
now,159553
can,153560
new,149275
first,148952
all,147514
see,137782
one,131438
how,125286
next,121962
continue,120443
these,114715
those,113122
has,109807
time,107020
through,105244
sales,105099
margin,103737
last,103412
cash,102167
expect,101596
out,101247
strong,97312
customers,96845
line,94710
share,94089
look,91830
capital,90160
kind,89017
billion,87183
officer,86603
chief,86584
net,85791
second,85049
operating,82930
end,82792
financial,82207
across,82190
earnings,81228
other,80875
analyst,80531
right,80055
guidance,79846
basis,78324
any,78085
adjusted,77971
full,77953
back,77899
get,77077
term,74758
higher,74229
maybe,73031
product,72723
both,72402
results,72203
cost,71360
lot,70211
little,69647
had,69430
bit,69022
forward,68926
increase,68223
down,67568
performance,66965
great,66901
data,66337
rate,66283
seeing,65599
per,64692
value,64379
customer,62766
management,61405
high,61368
impact,61310
demand,60283
increased,60094
long,59651
approximately,58856
driven,58469
say,58104
executive,57446
terms,56743
looking,56739
around,56728
yes,56648
half,55731
ebitda,55681
two,55019
want,54417
markets,54291
type,54239
point,54237
