company,count
Moderna,12
Novocure,11
Duluth,11
Zoetis,11
Transocean,10
Plug Power,10
Limoneira,10
Cleveland Cliffs,10
Rtx,10
Biogen,10
Centene,10
Eli Lilly,10
Yum China,10
Pfizer,10
Davita,10
Shopify,10
Lgi Homes,9
Sleep Number,9
Oneok,9
Duolingo,9
Broadcom,9
Agenus,9
Sndl,9
Kimberly Clark,9
Polaris,9
Servicenow,9
Intel,9
Wex,9
Kla,9
Starbucks,9
Lyft,9
Mondaycom,9
Cinemark,8
Amplitude,8
Dutch Bros,8
Iron Mountain,8
Mosaic,8
Mercadolibre,8
American Tower,8
Bumble,8
Imax,8
Sotera Health,8
Ssr Mining,8
Doubleverify,8
Klaviyo,8
Magnite,8
Fubotv,8
Nio,8
Mongodb,8
Traeger,8
