word,frequency
the,3081614
and,2231380
to,2022993
of,1753941
in,1477770
we,1372091
a,1172089
our,1047172
that,1005101
for,737588
is,708496
you,646636
on,616939
with,572723
i,554442
as,553464
are,497489
--,387456
this,381319
from,373146
have,365500
so,328330
at,324885
it,310743
be,289038
about,247905
will,247717
by,247155
think,245946
but,243423
just,232764
was,229666
more,228644
million,227060
we're,206767
growth,200980
or,198288
over,195555
year,192040
what,190066
quarter,178577
some,169273
an,167734
not,161457
your,160166
which,154518
new,146814
it's,146501
can,145045
revenue,143872
up,137698
us,135997
thank,135253
very,133804
all,133548
would,133314
do,132171
see,131127
if,130063
going,127128
first,125439
now,124294
really,124146
how,124128
into,121081
there,120741
"know,",118762
like,118276
also,118274
continue,117086
next,114217
these,113446
that's,111459
has,108772
those,108294
been,107182
we've,105695
then,105287
year.,104886
call,104457
business,104375
good,104145
one,102629
question,102326
last,102154
where,101782
were,99369
expect,99139
than,98723
they,98018
through,96092
cash,93196
market,90870
sales,88709
kind,88471
strong,86900
margin,86603
when,85445
chief,85442
net,82806
