word,frequency
million,319648
think,263449
growth,262038
just,235258
revenue,169290
business,165950
know,160803
new,149275
market,136585
like,133530
really,130771
going,129528
continue,120443
https,112616
com,111842
time,107020
sales,105099
margin,103737
cash,102167
expect,101596
strong,97312
customers,96845
line,94710
share,94089
look,91830
capital,90160
kind,89017
billion,87183
fool,87170
officer,86603
chief,86584
net,85791
second,85049
operating,82930
end,82792
financial,82207
www,82023
company,81978
earnings,81228
analyst,80531
right,80055
guidance,79846
basis,78324
adjusted,77971
term,74758
higher,74229
maybe,73031
product,72723
results,72203
cost,71360
lot,70211
little,69647
bit,69022
forward,68926
increase,68223
performance,66965
great,66901
years,66755
data,66337
rate,66283
seeing,65599
value,64379
customer,62766
management,61405
high,61368
impact,61310
demand,60283
increased,60094
long,59651
approximately,58856
driven,58469
say,58104
executive,57446
terms,56743
looking,56739
yes,56648
half,55731
ebitda,55681
want,54417
markets,54291
type,54239
point,54237
portfolio,53543
total,53353
comes,53140
fourth,53068
things,53043
points,52925
flow,52495
expected,51934
lower,51096
gross,50642
prior,50199
products,50064
motley,49613
income,48800
ahead,48270
continued,47845
believe,47843
including,47137
