bigram,count
you know,118271
https www,81332
over year,77249
year over,75589
little bit,50407
full year,50375
motley fool,49612
fourth quarter,49242
first quarter,48371
cash flow,44849
last year,43800
chief executive,43333
executive officer,43260
long term,40989
basis points,38020
fool com,37544
adjusted ebitda,35585
next comes,34320
second quarter,32628
third quarter,32316
our next,32060
you can,31360
www fool,31283
url https,31280
chief financial,30904
financial officer,30832
million million,30706
you think,28338
prior year,27728
can you,27437
per share,27146
gross margin,26807
free cash,26805
our customers,26740
non gaap,25768
think you,25473
president chief,24779
earnings transcript,24387
our business,23815
you look,22681
was million,22634
balance sheet,22202
you see,21700
right now,21562
second half,20995
comes line,20684
revenue growth,20528
you are,20483
vice president,20473
are you,20408
how you,20014
approximately million,19481
type imageobject,18768
imageobject url,18768
foolcdn com,18768
com themotleyfool,18768
themotleyfool https,18768
next year,18565
are seeing,17744
over time,17223
turn over,17143
you just,17023
half year,16791
are going,16617
going forward,16340
you guys,15992
quarter was,15985
investor relations,15673
fool transcribing,15325
prepared remarks,15233
our first,15149
but also,15054
but you,14903
https foolcdn,14632
forward looking,14565
bit more,14412
over last,14402
are not,14275
know you,14135
you our,14043
you seeing,13962
net income,13804
our guidance,13658
first half,13456
you may,12655
looking statements,12610
name motley,12512
image type,12512
height width,12512
org wiki,12512
wiki https,12512
com themotleyfoolofficial,12512
themotleyfoolofficial https,12512
you mentioned,12473
very much,12356
last quarter,12323
fiscal year,12272
across our,12200
during quarter,12186
look forward,12064
