word,count
our,1049111
you,839757
year,526390
are,505736
quarter,360511
million,319648
think,263449
growth,262038
but,250080
over,237516
more,235950
just,235258
was,232406
some,170693
revenue,169290
not,166177
business,165950
know,160803
now,159553
can,153560
new,149275
first,148952
all,147514
very,141161
see,137782
market,136585
like,133530
one,131438
really,130771
going,129528
also,126277
well,125573
how,125286
next,121962
continue,120443
these,114715
those,113122
https,112616
com,111842
has,109807
time,107020
through,105244
sales,105099
margin,103737
last,103412
cash,102167
expect,101596
out,101247
strong,97312
customers,96845
line,94710
share,94089
look,91830
capital,90160
kind,89017
billion,87183
fool,87170
officer,86603
chief,86584
net,85791
second,85049
operating,82930
end,82792
financial,82207
across,82190
www,82023
company,81978
earnings,81228
other,80875
analyst,80531
right,80055
guidance,79846
basis,78324
any,78085
adjusted,77971
full,77953
back,77899
get,77077
term,74758
higher,74229
maybe,73031
product,72723
both,72402
results,72203
cost,71360
lot,70211
little,69647
had,69430
bit,69022
forward,68926
increase,68223
down,67568
performance,66965
great,66901
years,66755
data,66337
rate,66283
seeing,65599
per,64692
value,64379
