bigram,frequency,pmi
near term,21,13.4864
general counsel,30,12.6019
basis points,34,12.5413
cash flow,23,12.1254
adjusted ebitda,23,11.9774
managing director,33,11.1316
july edt,25,11.0985
gross margin,28,10.9802
our analysts,78,10.9014
one our,79,10.5614
corporate development,33,10.3836
updated jul,26,9.2043
investor relations,514,9.1644
director investor,90,8.6122
head investor,98,8.424
need quote,899,8.3699
wednesday october,29,8.1558
updated feb,73,8.1087
quote one,78,8.0162
tuesday february,29,7.9617
thursday january,33,7.8591
rect fit,430,7.8161
fit max,894,7.8097
auto format,1324,7.8096
fit crop,430,7.8095
max auto,894,7.8032
crop auto,430,7.8029
thursday november,23,7.7896
updated nov,23,7.7055
thursday march,44,7.6398
updated oct,20,7.6294
wednesday july,32,7.6059
wednesday april,98,7.5759
thursday april,157,7.5533
wednesday february,25,7.5406
tuesday july,26,7.5134
thursday july,47,7.4581
tuesday april,75,7.397
edt participants,27,7.3571
november participants,49,7.3571
february participants,103,7.3571
date tuesday,337,7.3539
date friday,147,7.3539
date wednesday,388,7.3502
date thursday,630,7.3471
est date,1815,7.3468
date monday,99,7.3394
april participants,389,7.3387
earnings transcript,1805,7.3357
january participants,66,7.3354
jul est,47,7.3236
thursday february,35,7.3236
march participants,101,7.3149
transcript updated,265,7.3145
apr est,638,7.3072
october participants,74,7.2812
mar est,96,7.2524
august participants,37,7.209
transcript apr,589,7.2007
transcript mar,90,7.168
thursday october,22,7.0548
july participants,98,6.9945
kgmid description,2519,6.8882
wikipedia wikidata,2519,6.8882
description null,2519,6.8882
wikidata linkedin,2519,6.8882
jpg rect,430,6.8882
royalpurple svg,2519,6.8882
magenta royalpurple,2519,6.8882
search kgmid,2519,6.8865
tmf primary,2519,6.8859
jobtitle contributing,2519,6.8859
primary magenta,2519,6.8859
channel pinterest,2519,6.8853
contacttype media,2519,6.8848
media inquiries,2519,6.8848
corporation nasdaq,1175,6.8836
large ashx,2519,6.8825
avatar large,2519,6.8825
corporation nyse,1340,6.8825
production jpg,2519,6.8802
images production,2519,6.8796
misc assets,2519,6.8796
jan est,79,6.8764
transcript jan,73,6.7711
oct participants,73,6.7656
feb est,166,6.5591
participants founder,34,6.5377
friday may,52,6.5114
monday may,35,6.4961
nov est,65,6.4694
may est,626,6.4678
aug est,35,6.3958
transcript may,576,6.3564
jpg fit,894,6.3216
aug participants,33,6.314
updated apr,45,6.2165
thursday may,180,6.1965
may participants,512,6.1809
nov participants,52,6.1507
wednesday may,107,6.1485
tuesday may,92,6.1376
feb participants,122,6.1179
transcript jul,20,6.0996
contactpoint contacttype,2519,5.8882
logo tmf,2519,5.8882
themotleyfoolofficial youtube,2519,5.8882
themotleyfoolofficial google,2519,5.8876
brand contactpoint,2519,5.8853
assets logo,2519,5.8796
transcript nov,42,5.8481
oct est,37,5.782
transcript feb,93,5.7319
transcript aug,21,5.6675
updated may,49,5.5273
thursday feb,28,5.5182
jan participants,28,5.3831
themotleyfool instagram,2519,5.3032
format height,1324,5.3032
themotleyfool tiktok,2519,5.3032
svg width,2519,5.3032
ashx height,2519,5.3032
content foolcdn,2519,5.3027
height brand,2519,5.3004
date oct,25,5.2164
date feb,49,4.7987
height width,5038,4.7183
jpg height,1195,4.2274
null type,2519,4.0804
publisher type,2519,4.0804
type organization,2519,4.0799
type content,2519,4.0799
type corporation,2522,4.0776
nyse publisher,171,3.917
width height,2519,3.7183
date april,30,3.6388
type foolcdn,5038,3.4955
logo type,2519,3.0804
type contactpoint,2519,3.0804
contactpoint type,2519,3.0804
foolcdn com,7557,2.8005
com avatar,2519,2.8005
youtube com,2519,2.8005
com misc,2519,2.8005
tiktok com,2519,2.8005
com wikipedia,2519,2.8005
com sameas,2519,2.8005
publishingprinciples com,2519,2.8005
com publishingprinciples,2519,2.8005
com themotleyfoolofficial,5038,2.8005
linkedin com,2519,2.8005
sameas com,2519,2.8005
com facebook,2519,2.8005
facebook com,2519,2.8005
instagram com,2519,2.8005
pinterest com,2519,2.8005
com themotleyfool,7557,2.8005
google com,2519,2.7999
organization com,2519,2.7999
com images,2519,2.7999
com search,2519,2.7987
com channel,2519,2.7976
date may,46,2.7013
width type,2517,2.4943
apr participants,21,2.3853
com logo,2519,1.8005
nasdaq publisher,32,1.6898
themotleyfool com,2519,1.2155
