bigram,frequency,pmi
polyfluoroalkyl substances,22,13.7561
substandard doubtful,20,13.2866
loi letter,21,13.2601
cubic feet,26,12.9549
earth orbit,21,12.8127
minimally invasive,33,12.741
aoci accumulated,45,12.5668
letter intent,22,12.5388
hydraulic fracturing,41,12.3868
east africa,31,12.3814
duc drilled,24,12.3324
glucagon peptide,59,12.3175
promoter score,29,12.3145
charge offs,21,12.1632
bla biologics,34,12.0779
mexico canada,27,12.0732
denominated derivatives,23,11.9815
american depositary,24,11.9058
takes collect,28,11.8976
fid final,25,11.8668
acquire upgrade,22,11.8492
minimal residual,31,11.8418
twelve months,21,11.8369
middle east,37,11.7972
receptor agonists,20,11.7841
acl allowance,44,11.7163
special mention,29,11.6884
usmca united,26,11.6492
machine learning,41,11.6395
excess surplus,32,11.638
glp glucagon,44,11.5636
diabetes obesity,22,11.4782
seat mile,32,11.3898
mrd minimal,22,11.3768
repair overhaul,28,11.3435
economic powers,31,11.3042
acquisitions divestitures,24,11.3017
packaged optics,25,11.2987
united states,95,11.2883
incrementally prevailing,20,11.2311
forward looking,50,11.2088
off uncollectible,20,11.1674
biologics license,42,11.0965
europe middle,25,11.0822
european union,29,11.0767
north america,30,11.0711
joint venture,106,11.0261
unique identifier,28,11.0012
radio frequency,20,10.9385
rpo remaining,50,10.9164
stock keeping,78,10.9102
cross border,28,10.8503
peptide receptor,28,10.8101
days takes,34,10.7626
decision making,36,10.7475
discounts rebates,22,10.746
ppnr pre,25,10.7341
dso days,50,10.7102
rotce return,31,10.7034
identifier each,22,10.6998
unrealized gains,53,10.6702
genetic disorder,24,10.6616
pdufa date,24,10.654
balance sheet,123,10.6433
ads american,22,10.6428
states mexico,26,10.6115
artificial intelligence,153,10.5904
better reflect,20,10.5533
prevailing prices,57,10.5527
powers act,33,10.5451
accounts receivable,23,10.5227
already approved,22,10.514
carbon intensity,25,10.5107
pdufa prescription,20,10.5096
uncompleted well,20,10.4965
emergency economic,31,10.4793
first lien,28,10.478
servicing rights,44,10.4664
liquid cooling,22,10.4211
sofr secured,42,10.4121
dollar denominated,27,10.3857
bitcoin mining,20,10.3659
set aside,56,10.3478
