word,count
used,2864
revenue,2596
platform,1471
product,1436
sales,1349
value,1226
management,1206
data,1187
capital,1184
services,1159
net,1153
interest,1146
operating,1144
often,1135
income,1099
non,1085
segment,1075
performance,1063
products,1061
rate,1055
based,1054
service,1044
per,1030
new,982
ratio,971
customer,950
metric,949
credit,939
high,924
cost,886
technology,878
assets,876
within,864
measure,859
such,859
loans,854
total,852
costs,845
operations,835
system,824
regulatory,801
average,801
recurring,796
not,789
period,789
growth,776
typically,771
program,763
solutions,757
cash,756
risk,747
loan,742
earnings,741
real,740
production,736
adjusted,734
operational,726
efficiency,726
including,725
core,717
before,710
percentage,703
margin,697
through,696
enabling,686
specific,682
proprietary,682
providing,678
key,669
referenced,668
price,666
time,656
process,650
customers,647
equity,640
investment,636
advanced,625
designed,623
equipment,618
systems,613
focused,613
digital,605
power,598
expenses,592
are,592
excluding,591
unit,588
commercial,584
software,584
profitability,581
contract,575
under,568
asset,561
financial,558
term,557
insurance,554
infrastructure,546
drug,542
gas,540
over,538
