bigram,frequency,pmi
pizza hut,21,14.8439
las vegas,23,14.8439
proof concept,22,14.0583
dow jones,20,13.6641
san francisco,26,13.6319
goodwill impairment,20,13.193
square feet,47,12.9865
front loaded,31,12.8077
pro forma,65,12.7499
artificial intelligence,57,12.4123
world cup,31,12.3667
agency mbs,23,12.2311
square foot,22,12.0613
foreign exchange,68,12.0077
ended sept,30,11.9084
realty trust,23,11.9002
little bit,51,11.879
charge offs,65,11.8788
life sciences,60,11.8096
joint venture,119,11.7674
united states,44,11.7499
upward revision,39,11.7347
constant currency,60,11.7271
noninterest bearing,26,11.6416
convertible note,22,11.6114
rare disease,26,11.6088
joint ventures,34,11.5854
intellectual property,32,11.5556
trailing twelve,24,11.5324
pre pandemic,28,11.4992
middle east,181,11.4385
general administrative,34,11.3563
asia pacific,76,11.256
cross border,31,11.0651
natural gas,88,10.9943
real estate,214,10.9914
mission critical,23,10.9394
latin america,69,10.8674
bearing deposits,25,10.7213
southeast asia,24,10.674
government shutdown,38,10.593
east conflict,27,10.4917
decision making,20,10.4358
cross sell,78,10.3866
phase iii,83,10.3771
synergy realization,49,10.3749
north carolina,20,10.3141
medicare advantage,27,10.3035
use cases,61,10.2549
fastest growing,26,10.2294
third party,136,10.2156
book bill,68,10.2068
historical averages,21,10.178
two thirds,54,10.1758
twelve months,61,10.1498
cross selling,84,10.1352
north american,126,10.0552
north america,224,10.0364
private label,71,10.0278
highest ever,25,10.0001
returned shareholders,35,9.9854
investor day,51,9.9819
conditions evolve,24,9.9754
installed base,55,9.9692
incentive compensation,25,9.9308
late stage,69,9.9107
twelve month,27,9.8845
raw material,52,9.8838
called out,33,9.8016
lead times,39,9.7526
nine months,29,9.7469
balance sheet,728,9.6542
tangible book,59,9.5963
single digits,83,9.5899
mid teens,62,9.5822
repurchase authorization,94,9.5538
shares outstanding,23,9.5457
ahead schedule,50,9.5399
newly acquired,34,9.5017
foreign currency,20,9.4882
same store,115,9.4865
inflection point,37,9.4703
charge off,39,9.4508
clean energy,33,9.4369
partially offset,86,9.4349
basis points,390,9.412
roll out,26,9.4119
supply chains,21,9.3951
inflationary pressures,23,9.392
supply chain,460,9.3769
unit economics,27,9.363
buyback authorization,39,9.3365
aerospace defense,47,9.3279
pull forward,46,9.3207
tariff refunds,20,9.3174
common equity,29,9.3092
recently acquired,22,9.2975
revolving credit,38,9.2587
relatively flat,20,9.2474
double digit,669,9.2079
board authorized,26,9.2019
real world,37,9.1898
subsequent quarters,62,9.1881
geopolitical events,21,9.1628
synergy capture,25,9.1565
store openings,32,9.1191
looking ahead,34,9.1165
payout ratio,25,9.092
expressed confidence,42,9.0738
shareholder distributions,21,9.0471
value proposition,32,9.0273
shareholder returns,271,9.0267
diluted eps,46,8.9764
asset classes,25,8.9484
newly launched,24,8.9385
non gaap,466,8.9243
tuck acquisitions,27,8.9032
expressing confidence,28,8.8866
six months,48,8.8816
nearly doubled,21,8.8813
federal reserve,23,8.8805
value creation,93,8.8719
design wins,52,8.86
record breaking,27,8.8585
geopolitical disruptions,23,8.8568
step change,20,8.8442
board approved,22,8.7795
fda approval,37,8.7792
tax credits,35,8.7551
effective tax,74,8.7539
top bottom,46,8.7505
property noi,21,8.7483
fair value,34,8.7188
oil gas,25,8.7151
equity issuance,43,8.6997
macroeconomic uncertainty,44,8.6978
step down,26,8.6761
data center,546,8.6687
has begun,22,8.6648
single digit,378,8.658
nonperforming assets,30,8.6568
early signs,35,8.6489
run rate,206,8.6283
forward looking,40,8.6257
moving forward,32,8.601
organic inorganic,36,8.5929
broad based,281,8.5764
competitive advantage,47,8.5753
health care,36,8.5585
does not,230,8.5479
public sector,33,8.5412
selling prices,25,8.5233
commodity prices,20,8.5214
second half,626,8.4974
mid single,187,8.4904
interest bearing,20,8.4779
private wealth,23,8.4682
coming quarters,97,8.439
credit rating,22,8.4385
early stages,23,8.438
menu innovation,23,8.4233
rate cuts,62,8.4189
ample liquidity,26,8.4155
debt repayment,46,8.3876
consecutive quarters,50,8.3696
years ago,20,8.3638
oil prices,20,8.3609
basis point,126,8.3483
weighted average,50,8.3103
gain sale,20,8.2939
bill ratio,20,8.292
did not,96,8.2587
credit card,39,8.2489
preferred equity,23,8.2473
loyalty program,38,8.2204
large load,37,8.2197
marketing spend,46,8.2163
double digits,38,8.1891
noninterest income,56,8.1873
same property,26,8.1633
funding sources,26,8.1633
advanced packaging,29,8.1423
regulatory approvals,42,8.1296
macro uncertainty,29,8.0903
investment grade,66,8.0882
primary driver,32,8.0771
holdings inc,22,8.0726
you can,20,8.0603
repurchase program,117,8.054
input costs,63,8.0373
trade policy,25,8.0283
cycle times,20,8.0139
product introductions,49,8.0103
store noi,22,7.9935
long term,1162,7.9845
industry wide,55,7.9839
shipment timing,21,7.9677
resource allocation,37,7.9643
data centers,127,7.9613
early stage,64,7.9551
competitive differentiation,27,7.9422
book value,148,7.9301
share repurchases,675,7.9251
right now,53,7.9251
cap rates,31,7.922
debt maturities,55,7.9215
upper end,40,7.9194
period ended,23,7.9187
cost saving,36,7.9136
wholesale funding,20,7.9031
regulatory filings,23,7.9024
near term,996,7.8804
fiscal ending,20,7.869
pivot toward,22,7.862
weighted toward,55,7.8583
post merger,20,7.8253
deferred tax,20,7.8244
adjusted ebitda,1013,7.8023
back half,122,7.7804
large scale,142,7.7708
one time,209,7.7675
mitigation strategies,22,7.7627
three years,121,7.7596
buyback program,46,7.7591
workforce reduction,28,7.7565
shift toward,214,7.7544
loans deposits,22,7.754
cash equivalents,35,7.7521
share repurchase,323,7.7433
flat slightly,21,7.7399
energy storage,20,7.7336
cash flow,1746,7.7271
short term,212,7.7233
directly linked,37,7.7149
clinical trial,38,7.7119
percentage points,38,7.702
cost containment,41,7.6952
vertical integration,45,7.6941
based compensation,66,7.6935
geographic diversification,28,7.6914
five years,68,7.6894
tariff mitigation,38,7.6889
system wide,24,7.6888
free cash,1027,7.6816
allocation framework,25,7.6814
dividend payments,38,7.6711
contract awards,25,7.6662
pass through,57,7.6594
operational excellence,35,7.6568
medium term,72,7.6387
combined ratio,24,7.6375
gross profit,163,7.6164
direct consumer,73,7.5954
directly addressed,27,7.595
average selling,30,7.5884
compared prior,66,7.5839
contract wins,73,7.583
build out,25,7.5609
america europe,28,7.5483
non performing,20,7.5453
convertible debt,24,7.5324
buybacks dividends,30,7.5314
loan originations,26,7.516
asset light,35,7.5101
allocation priorities,91,7.5086
promotional activity,28,7.504
supply constraints,46,7.5019
same period,30,7.4667
annualized savings,26,7.4459
conservative approach,20,7.4388
user engagement,31,7.4373
rate case,30,7.4337
regulatory developments,26,7.4133
percentage point,21,7.4127
record setting,39,7.4087
macro conditions,23,7.3995
geographic reach,20,7.3971
greater china,26,7.3962
not anticipate,48,7.3894
credit quality,106,7.3882
fee income,111,7.3875
private equity,49,7.3856
core ffo,43,7.3808
price realization,36,7.379
low single,98,7.3788
several years,44,7.3713
noninterest expense,26,7.3671
primary drivers,29,7.3533
sales force,61,7.3496
cost controls,103,7.3427
returns shareholders,41,7.3398
ffo per,40,7.3303
credit facility,108,7.3298
price increases,162,7.3266
board approval,20,7.3253
tariff impacts,56,7.3231
confidence achieving,35,7.3216
product launches,277,7.316
value added,39,7.3032
debt reduction,200,7.2954
dividend policy,46,7.2893
provided explicit,22,7.2886
competitive positioning,68,7.2846
dividends buybacks,25,7.2684
remains unchanged,50,7.2596
sheet strength,77,7.2557
priorities include,25,7.2524
capital expenditures,226,7.251
not yet,124,7.246
group inc,20,7.2443
adjusted diluted,36,7.2423
already underway,20,7.2402
loan origination,36,7.2351
managed services,23,7.2324
concentration risk,21,7.2285
debt maturity,24,7.2243
remained stable,54,7.216
portfolio repositioning,28,7.2074
capital expenditure,66,7.2064
inventory build,33,7.2
adjusted ebit,22,7.1974
progressing toward,21,7.1913
longer term,112,7.1878
under review,29,7.1852
customer satisfaction,24,7.1807
continue grow,21,7.1804
new york,57,7.178
capital allocation,826,7.1739
client relationships,27,7.173
guidance assumes,66,7.1643
has shifted,20,7.144
per day,55,7.1437
working capital,317,7.1407
three times,24,7.1395
real time,59,7.1392
two years,91,7.1119
user base,21,7.1113
cash flows,120,7.1098
adjusted eps,269,7.0995
versus prior,44,7.0913
asset quality,93,7.0889
upcoming quarters,51,7.0673
order book,40,7.0614
rapid scaling,20,7.0341
regulatory approval,46,7.0332
stock based,47,7.0306
policy changes,37,7.0227
commodity price,25,7.0134
net interest,295,7.012
outlined clear,27,6.9915
capacity expansions,24,6.9893
operating expenses,212,6.9881
strengthened balance,24,6.9783
strategic pivot,33,6.9622
loan balances,23,6.9617
leverage ratio,84,6.9566
risk mitigation,28,6.9469
net charge,53,6.9384
regulatory milestones,45,6.9346
debt issuance,26,6.9317
remains track,52,6.9193
high teens,29,6.9182
asset repricing,20,6.9066
competitive pressures,31,6.8941
over course,21,6.8925
disciplined approach,89,6.8921
guidance incorporates,62,6.8853
remain unchanged,34,6.8849
interest income,156,6.8802
pricing actions,128,6.8773
sector specific,21,6.8721
provided clear,21,6.8704
asset divestitures,20,6.8685
mix shifts,52,6.8629
significant portion,27,6.8624
oil price,25,6.853
cap rate,21,6.8419
per share,502,6.8416
leadership transitions,23,6.8388
renewal rates,26,6.8354
shareholder return,60,6.8338
four years,28,6.8316
digit percentage,38,6.8295
power generation,43,6.8177
cost control,130,6.8025
