word,count
management,12313
growth,8768
revenue,6286
new,5189
are,4908
capital,4556
margin,4272
guidance,3783
expansion,3364
cash,3355
over,3143
expected,2964
ongoing,2930
sales,2918
its,2914
was,2905
cost,2854
both,2849
reported,2778
share,2712
term,2682
our,2668
strategic,2628
operational,2502
stated,2495
but,2464
product,2382
continued,2301
highlighted,2240
demand,2227
customer,2219
driven,2160
operating,2107
through,2093
net,2078
full,2067
future,1999
adjusted,1976
further,1971
higher,1957
segment,1950
not,1887
flow,1878
increased,1858
across,1820
including,1790
ebitda,1756
high,1746
confirmed,1739
investment,1733
significant,1706
billion,1674
portfolio,1665
investments,1610
emphasized,1553
due,1548
data,1522
end,1504
first,1475
rate,1458
initiatives,1439
strong,1428
commercial,1416
pipeline,1408
financial,1401
said,1398
remains,1386
described,1380
focus,1378
markets,1374
acquisition,1372
pricing,1347
performance,1341
improved,1309
long,1308
despite,1300
core,1281
earnings,1281
supporting,1279
gains,1277
half,1259
current,1245
leverage,1240
per,1234
value,1234
increase,1234
all,1232
leadership,1229
remain,1222
supported,1222
recent,1219
gross,1219
key,1217
near,1205
income,1204
strategy,1204
record,1202
based,1195
technology,1181
debt,1180
