bigram,frequency,pmi
exome genome,24,14.8697
taco bell,33,14.8347
los angeles,40,14.8267
pizza hut,35,14.722
puerto rico,43,14.6984
proof concept,30,14.6892
adi sfadia,35,14.6824
super bowl,20,14.5941
las vegas,53,14.5048
dow jones,41,14.2476
postpaid phone,21,14.2078
silicon carbide,26,14.1569
supreme court,26,14.1569
stand alone,31,13.527
watch list,20,13.4539
promoter score,32,13.4309
san diego,23,13.3793
storm fern,21,13.3554
san francisco,46,13.3482
front loaded,23,13.0599
artificial intelligence,44,13.0217
owner occupied,28,12.9948
stellar blue,47,12.8953
prepared remarks,25,12.8676
room nights,39,12.828
pass throughs,33,12.8002
cop trillion,20,12.7752
prepared foods,30,12.7311
write downs,36,12.6244
wholly owned,20,12.5864
machine learning,24,12.5857
colorectal cancer,20,12.5678
dry eye,22,12.3886
letter intent,22,12.376
gulf coast,32,12.3677
cross border,29,12.3522
breast cancer,32,12.3316
dry powder,23,12.294
world cup,22,12.2704
winter storms,27,12.2153
lung cancer,28,12.0532
special mention,28,12.0019
permian basin,27,11.9946
joint venture,186,11.9541
joint ventures,46,11.7329
covid vaccine,23,11.7262
unfunded commitments,30,11.6695
west coast,31,11.6484
agency mbs,25,11.6449
rare disease,21,11.6327
united states,69,11.5706
cubic feet,54,11.5679
pro forma,313,11.5548
obligations rpo,37,11.5186
winter storm,46,11.5127
medicare advantage,49,11.5085
rest world,89,11.4793
south korea,25,11.4765
life sciences,88,11.4577
social media,35,11.4227
little bit,161,11.4189
renewable diesel,23,11.3953
food beverage,53,11.39
mineral fiber,23,11.3853
goodwill impairment,80,11.3635
contingent consideration,20,11.3526
real estate,373,11.3341
criticized classified,23,11.3019
intellectual property,28,11.2694
nareit ffo,24,11.2683
southern california,23,11.2475
asia pacific,177,11.2341
marketable securities,204,11.1897
cross sell,76,11.1638
iran conflict,20,11.1354
middle east,434,11.0878
square feet,304,11.0328
mobile modular,21,10.9693
interim analysis,20,10.9423
general administrative,270,10.9364
foreign exchange,284,10.9203
pre pandemic,37,10.911
intangible amortization,28,10.9012
owned controlled,24,10.8842
natural gas,202,10.8811
cava group,28,10.8772
delayed draw,27,10.8457
square foot,122,10.8323
raw material,120,10.8064
fuel surcharge,33,10.7878
definitive agreement,33,10.7599
accounts receivable,82,10.7383
box office,29,10.7124
government shutdown,88,10.6009
bought back,80,10.5494
primary endpoint,23,10.5075
policies force,23,10.4616
latin america,158,10.4538
fastest growing,47,10.4524
historical averages,25,10.4206
rolled out,39,10.4067
patent litigation,23,10.4002
inflationary pressures,37,10.398
charge offs,395,10.3855
maturities until,48,10.3787
convertible notes,119,10.3745
phase iii,196,10.3691
depreciation amortization,79,10.3647
political advertising,30,10.3633
convertible note,36,10.363
private label,114,10.3541
household penetration,20,10.346
shareholder returns,330,10.3172
spin off,28,10.306
synergy realization,23,10.3048
ahead schedule,62,10.3004
trailing twelve,251,10.2993
sale leaseback,26,10.2886
earn out,48,10.2848
order intake,35,10.2778
undrawn revolver,56,10.2757
