word,count
revenue,19514
over,17698
growth,14341
billion,12566
net,11940
adjusted,11730
margin,11181
cash,10719
guidance,9816
sales,9794
share,9266
per,8731
operating,7776
management,7690
basis,7636
ebitda,7555
expected,7171
due,6668
increased,6661
new,6470
total,6378
prior,6291
points,6276
full,6264
end,6263
income,6016
was,5832
segment,5688
gross,5617
increase,5606
approximately,5591
down,5525
capital,5114
higher,4902
rate,4706
flow,4621
gaap,4467
non,4442
driven,4156
cost,3943
debt,3796
lower,3773
email,3706
costs,3666
eps,3627
reflecting,3627
sequentially,3462
first,3429
fiscal,3418
average,3361
expenses,3289
are,3219
including,3186
expense,3158
compared,3125
product,3061
free,3059
loss,2927
impact,2771
interest,2722
expansion,2637
volume,2634
reported,2615
outlook,2608
ratio,2559
mix,2530
our,2509
representing,2451
performance,2442
high,2428
range,2406
portfolio,2386
customer,2382
term,2378
primarily,2375
earnings,2341
rose,2331
loan,2312
but,2263
offset,2263
investment,2256
period,2238
projected,2221
acquisition,2211
attributed,2210
second,2178
diluted,2172
decline,2139
credit,2138
price,2136
tax,2134
declined,2131
organic,2128
through,2094
now,2070
excluding,2066
grew,2058
dividend,2052
half,2046
demand,2038
