bigram,frequency,pmi
carlos aguilar,20,14.9958
salty snacks,39,14.9945
hurricane beryl,39,14.9944
elizabeth boland,27,14.9914
henry schein,58,14.9909
derek leathers,68,14.9904
muscle shoals,28,14.9892
duane arnold,59,14.9885
pat mackin,47,14.9879
derek podhaizer,116,14.9865
mary szela,21,14.984
nerve stimulation,71,14.9832
susan kreh,28,14.9817
supreme court,321,14.9802
eastern seaboard,20,14.9798
checkpoint inhibitors,78,14.9793
mitch germain,100,14.9792
booz allen,68,14.9776
trevor cranston,108,14.9775
harold edwards,153,14.9768
corey sanders,32,14.9765
counter uas,188,14.9741
ted papapostolou,36,14.9735
dylan burzinski,93,14.9724
navdeep gupta,47,14.9709
dennis degner,55,14.9704
charlie gayer,92,14.9697
guy drummond,50,14.9691
ann salisbury,130,14.9689
noah hungness,45,14.9677
noah poponak,288,14.9677
gimenez fintech,29,14.9638
jake bartlett,61,14.9605
charlie collier,59,14.9604
willy walker,56,14.9591
louis hyzak,56,14.9589
arun viswanathan,235,14.9579
bricks mortar,35,14.9574
prefunded warrants,25,14.9562
antidumping duties,51,14.9548
keno hill,120,14.9543
cai von,51,14.9506
mccanless wedbush,68,14.9505
leon staphos,48,14.9493
hoka ugg,27,14.9486
victor grizzle,60,14.948
roger spitz,31,14.9449
lunch dinner,23,14.9445
glenn schorr,212,14.944
christian zyla,25,14.9426
christian ulbrich,24,14.9426
christian carlino,37,14.9426
christian rothe,32,14.9426
ronald keung,59,14.9412
wet shave,44,14.9411
philip daniele,20,14.9403
gad mdd,40,14.9402
shirley stacy,63,14.94
sheila karin,31,14.9391
jose marquez,47,14.9371
laura schenkein,25,14.9369
laura champine,38,14.9369
laura havener,30,14.9369
blake grayson,72,14.9367
atmus filtration,24,14.936
era dorada,20,14.9359
kentucky derby,66,14.9339
ronald kamdem,309,14.9331
andaz miami,24,14.9298
los santos,109,14.9298
chuck mattera,57,14.9268
simeon siegel,133,14.9254
mitch pinheiro,36,14.925
polaris forge,52,14.9248
laura alber,114,14.9243
ravi shanker,256,14.9195
kummetz seaport,49,14.918
travis axelrod,132,14.9145
vijay rakesh,159,14.9109
grand prix,23,14.9102
clark khayat,28,14.91
santa barbara,27,14.9077
billy hult,98,14.9072
townsquare interactive,20,14.9069
christian kleinerman,39,14.906
arvind krishna,51,14.9012
kurt yinger,98,14.9005
conveyor belt,20,14.9004
francis laurencio,20,14.9003
laura felice,38,14.8994
albert nahmad,170,14.898
christian luiga,31,14.8968
tsin huang,334,14.8961
vlad shmunis,27,14.8957
amphastar pharmaceuticals,22,14.8956
walter piecyk,57,14.8953
heng chen,45,14.8942
collective bargaining,30,14.8939
paribas exane,128,14.8922
tricia griffith,51,14.892
wyatt swanson,49,14.8905
leroy ball,61,14.8886
wei shao,22,14.8872
murdo gordon,38,14.8867
maple hcm,26,14.8864
ash kulkarni,95,14.8847
javier rodriguez,136,14.8838
michelob ultra,34,14.8837
travis stice,138,14.8835
cad cam,28,14.8829
league baseball,96,14.8826
trevor burgess,29,14.8817
invasive bladder,101,14.8815
ger griffin,29,14.8797
maggie nolan,91,14.8787
marinac janney,26,14.8786
compact launcher,29,14.8758
cherny leerink,83,14.8756
positives negatives,35,14.875
medicated feed,29,14.8728
christian oberbeck,20,14.8722
kate pearlman,26,14.8707
donald crist,57,14.869
bryce rowe,41,14.8667
mattress fabrics,22,14.8664
geoffrey dunn,44,14.8639
kurt sievers,93,14.8631
junior subordinated,33,14.8631
vis vis,325,14.8627
sohanya cheng,28,14.8621
bernie mccracken,36,14.8618
marcus jewell,20,14.861
noah zatzkin,117,14.8608
vikesh kumar,26,14.8604
andrews carlisle,39,14.8552
zach parham,27,14.8549
roy buchanan,61,14.8509
kate spade,25,14.8507
skilled nursing,228,14.8504
terry tillman,152,14.8503
ollie army,72,14.85
pratt whitney,136,14.8496
bradley herring,26,14.8492
osborn cantor,59,14.8491
faze esports,29,14.8482
christine leahy,37,14.8407
linda tsai,166,14.8406
